Sxx Mean ln ch1,Sxx max lnch1,Sxx q95 ln ch1,Sxx Mean ln ch2,Sxx max lnch2,Sxx q95 ln ch2,Sxx Mean ln ch3,Sxx max lnch3,Sxx q95 ln ch3,Sxx Mean ln ch4,Sxx max lnch4,Sxx q95 ln ch4,label
(0.1+0j),(4.1+0j),(4.6-1j),(0.1+0j),(4.2+0j),(5.1+1.3j),(0.1+0j),(4.2+0j),(4.1+0j),(0.1+0j),(4.1+0j),(3.2-0.4j),99.0
(0.1+0j),(4.2+0j),(6.1+1.4j),(0.1+0j),(4.2+0j),(4.1+0.3j),(0.1+0j),(4.2+0j),(4.7+0.8j),(0.1+0j),(4.2+0j),(4.2-0.8j),99.0
(0.1+0j),(4.2+0j),(3.8-0.2j),(0.1+0j),(4.2+0j),(3.7+0.1j),(0.1+0j),(4.2+0j),(5.7-1.3j),(0.1+0j),(4.2+0j),(3.4-0.2j),99.0
(0.1+0j),(4.3+0j),(5.5+1.4j),(0.1+0j),(4+0j),(4+0.9j),(0.1+0j),(4.1+0j),(3.9+0.3j),(0.1+0j),(4.2+0j),(4.8-1.2j),99.0
(0.1+0j),(4.6+0j),(4+0j),(0.1+0j),(4.2+0j),(4.3+0j),(0.2+0j),(4.2+0j),(4.5-0.1j),(0.1+0j),(4.1+0j),(4.4+1.2j),1.0
(0.1+0j),(4.5+0j),(5.2-1.4j),(0.1+0j),(4.2+0j),(4.2+0.7j),(0.1+0j),(4.2+0j),(4.5+1.1j),(0.1+0j),(4.5+0j),(4.1+0.9j),1.0
(0.1+0j),(4.2+0j),(4.8-0.7j),(0.1+0j),(4.2+0j),(4.4+0j),(0.2+0j),(4.2+0j),(4.8+0j),(0.1+0j),(4.5+0j),(3.3+0.5j),1.0
(0.1+0j),(4.5+0j),(3.6-0.2j),(0.1+0j),(4.1+0j),(3.4+0.3j),(0.2+0j),(4+0j),(3.7-0.5j),(0.1+0j),(4.2+0j),(4.4-1j),1.0
(0.1+0j),(4.5+0j),(4.3-0j),(0.1+0j),(4.2+0j),(4.4+0.8j),(0.2+0j),(4+0j),(4.4-0.2j),(0.1+0j),(4.2+0j),(2.8-0.4j),1.0
(0.1+0j),(4.5+0j),(3.4-0.4j),(0.1+0j),(4.5+0j),(3.4-0.3j),(0.2+0j),(4.5+0j),(3.7-0.6j),(0.1+0j),(4.2+0j),(4.1-1j),1.0
(0.2+0j),(4.1+0j),(5.5-1.3j),(0.1+0j),(4.1+0j),(4.3-0.1j),(0.2+0j),(4.2+0j),(4.5-0.3j),(0.1+0j),(4.2+0j),(3.9-1j),1.0
(0.2+0j),(4+0j),(3.6-0.5j),(0.1+0j),(4.3+0j),(3.6-0.5j),(0.2+0j),(4+0j),(3.9-0.8j),(0.1+0j),(4.5+0j),(3.9-0.9j),1.0
(0.1+0j),(4+0j),(4.4-0.7j),(0.1+0j),(4.3+0j),(4.3-0.2j),(0.2+0j),(4+0j),(5.6-1.3j),(0.1+0j),(4+0j),(4.6+1.2j),1.0
(0.2+0j),(4+0j),(3.6-0.5j),(0.2+0j),(4.3+0j),(3.5-0.7j),(0.2+0j),(4+0j),(3.7-0.8j),(0.1+0j),(4.6+0j),(4.3+1j),1.0
(0.2+0j),(4+0j),(3.9+0j),(0.1+0j),(4.3+0j),(4.8+1.2j),(0.2+0j),(4+0j),(4.5-1j),(0.1+0j),(4+0j),(5.3-1.4j),1.0
(0.2+0j),(4+0j),(3.7-0.6j),(0.2+0j),(4.3+0j),(4.2+1.1j),(0.2+0j),(4+0j),(3.8-0.8j),(0.1+0j),(4.1+0j),(4.4+1j),1.0
(0.1+0j),(4+0j),(4.4-0.9j),(0.1+0j),(4.3+0j),(5.2-1.3j),(0.2+0j),(4+0j),(5.5-1.3j),(0.1+0j),(4.1+0j),(4.2+1.2j),1.0
(0.1+0j),(4.1+0j),(3.2+0.2j),(0.1+0j),(4.3+0j),(3.7+0.9j),(0.2+0j),(4+0j),(3.4+0.6j),(0.1+0j),(4.1+0j),(3.4+0.1j),1.0
(0.1+0j),(4.2+0j),(4-0j),(0.1+0j),(4.1+0j),(4+0.7j),(0.2+0j),(4.2+0j),(4.5+0.8j),(0.1+0j),(4.1+0j),(4.2+0.1j),99.0
(0.1+0j),(4.2+0j),(3.5-0.4j),(0.1+0j),(4.3+0j),(3.5+0.9j),(0.1+0j),(4.1+0j),(3.4+0.9j),(0.1+0j),(4.4+0j),(4.3+1.1j),99.0
(0.1+0j),(4.1+0j),(4.1+0.5j),(0.1+0j),(4.1+0j),(3.8+0.3j),(0.1+0j),(4.1+0j),(4.3+0.2j),(0.1+0j),(4.1+0j),(4+0j),99.0
(0.1+0j),(4.1+0j),(3.2+0.3j),(0.1+0j),(4.4+0j),(5.6-1.5j),(0.1+0j),(4.3+0j),(3.8+0.3j),(0.1+0j),(4.1+0j),(3.7+0.5j),99.0
(0.1+0j),(4.1+0j),(3.7+0.3j),(0.1+0j),(4.2+0j),(3.8+0.3j),(0.1+0j),(4.4+0j),(4.3-0.5j),(0.1+0j),(4.5+0j),(4.1+0j),99.0
(0.1+0j),(4.1+0j),(4.2+0.1j),(0.1+0j),(4.2+0j),(4.6+1.1j),(0.1+0j),(4.3+0j),(4.5+0j),(0.1+0j),(4.2+0j),(3.5+0.2j),99.0
(0.1+0j),(4.1+0j),(4.6-0.9j),(0.1+0j),(4.2+0j),(4.6+0.8j),(0.1+0j),(4.3+0j),(4.4+0.7j),(0.1+0j),(4.1+0j),(3.9+0.6j),2.0
(0.1+0j),(4.1+0j),(4.2+0.1j),(0.1+0j),(4.2+0j),(4+0.1j),(0.1+0j),(4.4+0j),(4.6+0.1j),(0.1+0j),(4.1+0j),(5.4+1.4j),2.0
(0.1+0j),(4.3+0j),(4.3+0.6j),(0.1+0j),(4.2+0j),(4.1+0.1j),(0.1+0j),(4.3+0j),(4.4+0.5j),(0.1+0j),(4.3+0j),(3.5-0.1j),2.0
(0.1+0j),(4.3+0j),(3.9+0.3j),(0.1+0j),(4.2+0j),(4.3+0.1j),(0.1+0j),(4.3+0j),(4.5+0j),(0.1+0j),(4.3+0j),(3.5+0.5j),2.0
(0.1+0j),(4+0j),(5.3+1.3j),(0.1+0j),(4+0j),(4.1+0.2j),(0.1+0j),(4.3+0j),(4.6-0.8j),(0.1+0j),(4.3+0j),(3.8-0.2j),2.0
(0.1+0j),(4+0j),(3.9-0j),(0.1+0j),(4.5+0j),(4.3-0.5j),(0.1+0j),(4.4+0j),(4.4-0j),(0.1+0j),(4.1+0j),(4.2+1.1j),2.0
(0.1+0j),(4.4+0j),(4-0j),(0.1+0j),(3.9+0j),(4.2+0.5j),(0.1+0j),(4.4+0j),(4.2+0.5j),(0.1+0j),(4.4+0j),(3.8-0.6j),2.0
(0.1+0j),(4.4+0j),(4.4+0j),(0.1+0j),(3.9+0j),(4.3+0j),(0.1+0j),(4.4+0j),(5.2-0.9j),(0.1+0j),(4.4+0j),(3.5-0.3j),2.0
(0.1+0j),(4.4+0j),(4.1+0.4j),(0.1+0j),(4.2+0j),(4+0.3j),(0.1+0j),(4.4+0j),(4.1+0.4j),(0.1+0j),(4.3+0j),(5.1-1.3j),2.0
(0.1+0j),(4.2+0j),(4.9-1.2j),(0.1+0j),(4.2+0j),(3.6-0.6j),(0.2+0j),(4.2+0j),(4.3-0.1j),(0.1+0j),(4.4+0j),(3.1-0.2j),2.0
(0.2+0j),(4.1+0j),(3.7+0.6j),(0.1+0j),(4.3+0j),(3.6+0.1j),(0.2+0j),(4.3+0j),(5.9-1.5j),(0.1+0j),(4.2+0j),(3.7-0.3j),2.0
(0.2+0j),(4.1+0j),(4.6+0.7j),(0.1+0j),(4.4+0j),(4.4-0.1j),(0.2+0j),(4.3+0j),(5.3-1j),(0.1+0j),(4.2+0j),(3.1-0.5j),2.0
(0.2+0j),(4.2+0j),(3.5-0j),(0.1+0j),(4.2+0j),(4.7+1.3j),(0.2+0j),(4.2+0j),(3.7-0.4j),(0.1+0j),(4.2+0j),(4.3-1.1j),2.0
(0.2+0j),(4.2+0j),(4.2-0.1j),(0.1+0j),(4.2+0j),(4.3-0.1j),(0.2+0j),(4.3+0j),(4.5-0.1j),(0.1+0j),(4.2+0j),(4.4+1.3j),2.0
(0.2+0j),(4.2+0j),(3.5+0.1j),(0.1+0j),(4.2+0j),(3.6-0.6j),(0.2+0j),(4.2+0j),(3.9-0.6j),(0.1+0j),(4.2+0j),(3.1-0.2j),99.0
(0.2+0j),(4.4+0j),(4.2-0.3j),(0.1+0j),(4.2+0j),(4.3-0.2j),(0.2+0j),(4.2+0j),(4.5-0.6j),(0.1+0j),(4.2+0j),(3.4+0.9j),99.0
(0.1+0j),(4.2+0j),(3.5-0.3j),(0.1+0j),(4.2+0j),(3.6+0.5j),(0.2+0j),(4.2+0j),(3.8-0.8j),(0.1+0j),(4.2+0j),(3.9+0.7j),99.0
(0.2+0j),(4.2+0j),(4.8+1.1j),(0.2+0j),(4.2+0j),(4.6-1j),(0.2+0j),(4.2+0j),(6.2-1.4j),(0.1+0j),(4.2+0j),(2.7-0.4j),99.0
(0.2+0j),(4.2+0j),(4.5+1.2j),(0.2+0j),(4.2+0j),(3.6-0.6j),(0.2+0j),(4.2+0j),(3.8-0.8j),(0.1+0j),(4.2+0j),(4-0.9j),99.0
(0.2+0j),(4.2+0j),(4.8-1.1j),(0.2+0j),(4.2+0j),(5.1-1.2j),(0.2+0j),(4.2+0j),(5-1j),(0.1+0j),(4.2+0j),(4+1.1j),99.0
(0.2+0j),(4.4+0j),(4-0.7j),(0.2+0j),(4.2+0j),(3.5-0.4j),(0.2+0j),(4.3+0j),(4-0.8j),(0.1+0j),(4.2+0j),(4.4-1j),99.0
(0.2+0j),(4.4+0j),(4.6-0.4j),(0.1+0j),(4.2+0j),(4.8+0.9j),(0.2+0j),(4.4+0j),(4.3+0.1j),(0.1+0j),(4.4+0j),(3.7-0.2j),99.0
(0.2+0j),(4.4+0j),(4.7+1.3j),(0.2+0j),(4.2+0j),(5.1+1.4j),(0.2+0j),(4.3+0j),(3.9-0.9j),(0.1+0j),(4.4+0j),(4.6+1.1j),99.0
(0.1+0j),(4.1+0j),(5.2+1.1j),(0.1+0j),(4.2+0j),(5.1-1.1j),(0.2+0j),(4.1+0j),(4.4-0.1j),(0.1+0j),(4.1+0j),(3.9-0.2j),99.0
(0.1+0j),(4.1+0j),(3.5+0.4j),(0.1+0j),(4.2+0j),(4.9+1.3j),(0.1+0j),(4.2+0j),(3.6+0.6j),(0.1+0j),(4.1+0j),(3.5+0.3j),99.0
(0.1+0j),(4.1+0j),(5.2-1.2j),(0.1+0j),(4.3+0j),(4.3-0.1j),(0.1+0j),(4.1+0j),(4.5+0.6j),(0.1+0j),(4.5+0j),(5.4-1.3j),99.0
(0.2+0j),(4.1+0j),(3.9+0.5j),(0.1+0j),(4.1+0j),(4.1+0.2j),(0.2+0j),(4.1+0j),(5.5+1.2j),(0.1+0j),(4.1+0j),(3.8-0.6j),99.0
(0.1+0j),(4.1+0j),(3.7+0.2j),(0.1+0j),(4.2+0j),(5.1+1.4j),(0.2+0j),(4.1+0j),(5.1+1.2j),(0.1+0j),(4.1+0j),(4.7+0.7j),99.0
(0.1+0j),(4.1+0j),(4.2+0.1j),(0.1+0j),(4.1+0j),(4.2+0.1j),(0.2+0j),(4.1+0j),(5.3-1.1j),(0.1+0j),(4.5+0j),(3.6-0j),99.0
(0.1+0j),(4.5+0j),(5.4-1.2j),(0.1+0j),(4.1+0j),(4.9+1.1j),(0.3+0j),(4.1+0j),(4.7+0.2j),(0.1+0j),(4.1+0j),(3.9+0.4j),99.0
(0.1+0j),(4.5+0j),(4.9-0.8j),(0.1+0j),(4.1+0j),(4.4+0j),(0.3+0j),(4.1+0j),(4.9+0j),(0.1+0j),(4.2+0j),(4.1-1j),99.0
(0.2+0j),(4.1+0j),(4.2+0.1j),(0.1+0j),(4.2+0j),(4.2-0.1j),(0.2+0j),(4.2+0j),(6.2+1.4j),(0.1+0j),(4.2+0j),(5.4-1.3j),99.0
